gene_symbol	chimp1	chimp2	chimp3	chimp4	macaca1	macaca2	macaca3	macaca4
MICALL1	526	422	681	556	321	356	459	329
MICB	209	159	111	132	39	50	44	38
MICOS10	1916	2320	3058	2294	1809	2337	3084	1855
MICOS13	1014	1309	1335	1202	1185	1232	1827	1208
MICU1	755	525	739	744	112	179	245	221
MICU2	2437	1907	2999	2912	1385	1750	2443	1542
MICU3	213	276	154	218	255	236	461	253
MID1	224	343	179	408	294	212	369	260
MID1IP1	1913	1332	1302	1029	225	216	271	293
MID2	120	139	128	127	184	194	379	231
MIDEAS	969	905	1244	794	437	500	775	615
MIDN	153	154	142	65	90	78	172	262
MIEF1	342	282	568	249	211	256	472	445
MIEF2	176	196	182	156	194	209	358	331
MIEN1	827	965	1056	1005	401	401	607	433
MIER1	1627	973	1502	1371	787	1073	1182	1024
MIER2	217	169	166	225	130	120	179	163
MIER3	772	678	928	841	325	581	542	629
MIF4GD	411	428	635	426	386	473	605	395
MIGA2	1150	1031	1111	1034	468	510	914	665
MIIP	316	246	360	331	79	83	261	168
MINDY1	683	594	702	418	228	214	380	232
MINDY2	408	513	287	498	636	569	1191	905
MINDY3	994	616	1024	901	431	378	623	400
MINDY4	439	308	208	268	95	150	178	125
MINK1	4205	3014	4163	4011	1511	1723	2723	2037
MINPP1	555	193	252	223	232	288	344	228
MIOS	1264	1120	1428	1255	719	974	1357	909
MIOX	285	133	103	67	37	166	326	130
MIPEP	854	1003	629	777	599	874	1272	775
MIPOL1	114	143	68	150	157	220	416	315
MISFA	146	283	518	237	59	80	92	97
MITD1	613	317	394	468	179	168	347	228
MITF	979	1296	2758	1090	1504	1588	2405	1535
MIX23	102	81	182	108	436	375	770	389
MKKS	1210	1273	1976	1734	1312	1194	2086	1255
MKLN1	1494	1353	1132	1463	833	863	1189	1032
MKNK1	1365	1208	1623	1468	606	853	1152	625
MKNK2	2822	2271	2078	1545	1262	2524	2390	2491
MKRN1	850	642	1055	795	521	683	911	694
MKRN2	1851	1535	2299	1770	1059	1454	1903	1950
MKRN2OS	161	156	25	120	18	13	24	23
MKS1	482	343	265	538	247	416	315	259
MLEC	5117	4717	5970	5600	6128	7805	10665	8055
MLF1	3675	4966	8862	4539	12486	14466	21188	17382
MLF2	3549	3308	4737	3563	2354	2764	4122	3206
MLH1	1461	1193	1876	1182	698	755	1149	910
MLH3	883	699	1008	678	411	645	729	472
MLIP	10033	9606	12864	7447	6281	8823	10804	8387
MLKL	620	188	226	348	181	174	221	231
MLLT1	572	332	679	393	278	501	434	431
MLLT10	2059	2214	2516	2560	819	1311	1687	1190
MLLT11	2400	861	511	2695	85	54	113	99
MLLT3	613	459	242	653	208	314	454	292
MLPH	713	907	670	374	10	26	139	73
MLST8	412	339	462	431	202	198	406	271
MLX	2162	2212	2443	1758	2104	1582	3440	2088
